OBJECTID,PHpH,ALK_MGL,COND_USCM,BOD_MGL,NO2_N_MGL,CUSOL1_MGL,CUSOL2_UGL,FESOL1_UGL,ZN_SOL_UGL
83207,7.9,79,227,2,0.012,0.0046,0.96,456.14,5
83208,7.7,69,219,2,0.006,,1.18,388.25,5
83399,7.8,52,184,2,0.011,0.0039,1.67,1139.55,5
83400,7.6,36,168,2,0.011,0.0011,1.36,913.51,5.02
83699,7.6,25,101,2,0.011,0.0061,1.57,392.31,5
83700,7.7,29,112,2,0.005,0.0014,0.9,300.57,5
83872,7.9,66,179,2,0.007,0.0084,1.47,201.56,5
84215,8,117,333,2,0.011,,2.3,272.91,5
84441,7.6,33,132,2,0.006,,2.05,695.07,5
84667,8,92,262,2,0.007,0.0024,1.24,498.31,5
84903,7,15,87,2,0.014,,1.5,629.24,5
84904,7.3,15,100,2,0.005,0.0022,1.21,446.59,5
85125,7.9,47,150,2,0.005,,1.31,280.7,5
85348,7.8,35,122,2,0.013,0.001,1.07,390.59,5
85571,7.9,78,235,2,0.011,,2.86,121.09,5
85794,7.9,65,189,2,0.012,0.002,1.75,175.39,5
85885,7.7,30,114,2,0.012,,1.23,426.39,5
85985,8.1,147,403,2,0.014,,3.2,53.67,5
86043,8.4,184,475,2,0.021,0.0017,1.9,280.67,5
86069,8.1,141,432,2.7,0.025,0.0028,3.31,235.2,5
86087,8.3,72,202,2.4,0.007,0.0031,0.89,447.96,5
86113,7.7,33,136,2.2,0.01,0.0026,2.15,614.74,5
86167,7.6,32,102,2,0.013,,1.35,431.81,5
86175,7.8,22,96,2,0.005,0.0027,0.63,211.5,5.98
86200,7.4,16,88,2,0.01,0.0019,1.11,502.01,5
86453,7.7,112,347,2,0.027,0.0027,1.76,382.13,5
86479,7.7,74,361,2,0.048,,3.93,155.29,5
86635,7.7,57,177,2,0.01,0.0025,1.46,164.94,5
86661,7.6,43,228,2,0.035,,3.22,78.67,5.09
86811,7.7,71,232,2,0.021,0.0049,2.12,282.12,5
86837,7.5,46,242,2,0.029,,3.73,169.02,5
86986,7.7,65,216,2.3,0.021,0.0031,1.65,162.23,5
87012,7.4,32,187,2,0.015,,2.95,99.6,5
87870,8,151,548,2.7,0.043,0.0014,2.24,50,5
87900,7.8,125,586,2,0.074,0.0013,3.28,59.33,15.99
87901,7.6,74,355,2,0.057,0.0013,4.64,86.29,3.26
88301,8,122,387,2,0.03,,2.77,170.2,5
88302,7.9,146,525,2.3,0.039,0.0019,2.04,50,5
88333,7.4,60,349,2.4,0.062,0.0022,5.29,105.96,5
88334,7.8,95,422,2,0.063,,3.75,70.82,5
89399,7.9,142,507,2.5,0.049,0.0027,2.95,136.69,5
89425,7.8,92,406,2,0.078,,3.71,73.7,5
90057,7.8,139,504,2.4,0.048,0.0021,2.4,101.57,5.18
90083,7.7,90,396,2.3,0.085,,3.2,75.03,5
90469,7.8,132,478,2.4,0.063,0.001,2.99,223.83,5
90495,7.7,88,383,2,0.105,,3.14,76.74,5
91083,7.9,101,354,2.8,0.04,0.0031,2.48,234.01,5
91109,7.6,65,309,2,0.068,,3.81,110.22,5
91413,8,82,263,2,0.022,,2.07,117.58,5
91414,8,90,321,2,0.031,0.0011,2.45,274.08,5
91445,7.4,48,308,2,0.057,0.0019,4.01,124.29,5
91446,7.7,56,286,2,0.062,,3.51,113.87,5
91874,7.9,78,263,2.1,0.045,0.0015,2.14,213.18,5
91900,7.6,44,245,2,0.042,,3.86,113.26,5
92126,7.8,69,231,2.5,0.029,,2.07,228.54,5
92152,7.6,39,231,2,0.031,,3.57,113.66,5
92409,7.9,126,417,2,0.015,,2.31,86.59,5
92435,7.8,68,361,2,0.052,0.0021,4.26,73.31,5
92780,7.8,78,279,2.5,0.015,0.0067,2.34,100.1,5
92811,7.7,49,276,3.7,0.033,,4.01,119.96,5
92812,7.6,40,249,3.3,0.04,0.0028,4.88,90.71,5
92931,7.9,83,249,2.3,0.013,0.0025,2.57,148.63,5
